x	y	
-5.420857	-7.463132	
4.023745	-4.134730	
5.891318	5.095284	
-0.081350	-3.522097	
-2.835148	7.236933	
5.713637	-4.443050	
9.760028	-3.443689	
8.428845	2.259068	
6.258103	5.696791	
-7.128412	3.130356	
-2.928340	2.902548	
-5.437270	4.544262	
-1.041026	4.739221	
1.155301	-3.372795	
-1.550753	-1.033288	
1.581652	-9.857157	
2.982192	-5.299085	
-1.787784	-10.189402	
-4.027484	-9.019444	
10.278945	-3.458430	
-3.635969	-9.864675	
0.280623	-8.610697	
1.744843	-6.162240	
3.216408	-7.511283	
-1.203184	1.331629	
-6.655090	0.038279	
-5.751003	-3.429266	
-4.934377	-0.033463	
4.070097	7.228917	
-7.032979	2.657849	
-2.823888	5.857331	
-7.354533	-1.374004	
3.435258	6.150555	
-2.434331	-6.546741	
-4.603243	-0.163539	
8.471311	-4.745205	
5.243636	5.765390	
9.361345	-0.712820	
0.540777	-2.345313	
1.792309	-3.231941	
-5.411682	-8.943826	
3.679902	-7.846715	
3.700323	6.665682	
-4.365113	-3.201246	
6.761352	-1.373233	
-0.990145	-8.585968	
1.693684	-1.091114	
-1.844214	-9.512019	
-5.502280	0.870840	
9.547877	-7.777174	
-2.686287	-1.756255	
2.575937	-1.586220	
1.325792	5.692742	
4.025481	-7.694762	
-0.419231	-2.278186	
8.137069	1.636122	
-2.666429	-1.361057	
4.416106	-10.598187	
-3.756940	-6.870162	
-0.090633	-2.400422	
-0.635838	-11.823281	
3.634779	-6.483549	
0.014118	-2.066852	
-5.184879	-6.519796	
-0.514034	2.423137	
-5.413536	-7.103773	
9.636632	-2.534709	
8.169040	3.774152	
-5.508209	0.183507	
2.126376	-9.990512	
-4.535102	-6.934914	
0.753290	-5.783727	
-0.765896	3.240647	
-6.802752	-7.031327	
-3.550120	4.109226	
-2.815230	-8.419874	
3.251446	-11.259738	
0.395353	-9.720371	
0.792776	6.335832	
-5.510756	-1.093976	
2.064016	-8.505458	
-0.034093	6.761764	
-6.160930	4.796690	
-4.194145	-4.651937	
